"","Var1","Var2","Var3","Freq"
"136","Tumor","TLS1_boundaries_450","TLS1",0.130444298533596
"137","B","TLS2_boundaries_0","TLS1",0
"138","Plasma","TLS2_boundaries_0","TLS1",0
"139","CD8_Teff","TLS2_boundaries_0","TLS1",0
"140","CD8_CTL","TLS2_boundaries_0","TLS1",0
"141","Mac_like CD8_CTL","TLS2_boundaries_0","TLS1",0
"142","Epi_like CD8_Teff","TLS2_boundaries_0","TLS1",0
"143","Fb_like CD8_Teff","TLS2_boundaries_0","TLS1",0
"144","CD8_Exhausted","TLS2_boundaries_0","TLS1",0
"145","CD8_proliferation","TLS2_boundaries_0","TLS1",0
"146","Fb_like Mac_like Treg","TLS2_boundaries_0","TLS1",0
"147","Treg","TLS2_boundaries_0","TLS1",0
"148","Th17","TLS2_boundaries_0","TLS1",0
"149","monocytes","TLS2_boundaries_0","TLS1",0
"150","Alveolar_Marcophage","TLS2_boundaries_0","TLS1",0
"151","Interstital_Mph_perivascular","TLS2_boundaries_0","TLS1",0
"152","Alveolar_Mph_Proliferating","TLS2_boundaries_0","TLS1",0
"153","Epithelial_like Alveolar_Marcophage","TLS2_boundaries_0","TLS1",0
"154","cDC2","TLS2_boundaries_0","TLS1",0
"155","cDC3","TLS2_boundaries_0","TLS1",0
"156","pDC","TLS2_boundaries_0","TLS1",0
"157","mast_cell","TLS2_boundaries_0","TLS1",0
"158","Lymphatic_endothelial_cell","TLS2_boundaries_0","TLS1",0
"159","Arterial_endothelial_cell","TLS2_boundaries_0","TLS1",0
"160","Pericytes","TLS2_boundaries_0","TLS1",0
"161","tCAF","TLS2_boundaries_0","TLS1",0
"162","mCAF","TLS2_boundaries_0","TLS1",0
"163","InfCAF","TLS2_boundaries_0","TLS1",0
"164","T_like Fibroblast","TLS2_boundaries_0","TLS1",0
"165","AT1_like Fibroblast","TLS2_boundaries_0","TLS1",0
"166","AT1","TLS2_boundaries_0","TLS1",0
"167","AT2","TLS2_boundaries_0","TLS1",0
"168","AT1_proliferation","TLS2_boundaries_0","TLS1",0
"169","Alveolar_Marcophage_like Epithelial","TLS2_boundaries_0","TLS1",0
"170","Tumor","TLS2_boundaries_0","TLS1",0
"171","B","TLS2_boundaries_150","TLS1",0
"172","Plasma","TLS2_boundaries_150","TLS1",0
"173","CD8_Teff","TLS2_boundaries_150","TLS1",0
"174","CD8_CTL","TLS2_boundaries_150","TLS1",0
"175","Mac_like CD8_CTL","TLS2_boundaries_150","TLS1",0
"176","Epi_like CD8_Teff","TLS2_boundaries_150","TLS1",0
"177","Fb_like CD8_Teff","TLS2_boundaries_150","TLS1",0
"178","CD8_Exhausted","TLS2_boundaries_150","TLS1",0
"179","CD8_proliferation","TLS2_boundaries_150","TLS1",0
"180","Fb_like Mac_like Treg","TLS2_boundaries_150","TLS1",0
"181","Treg","TLS2_boundaries_150","TLS1",0
"182","Th17","TLS2_boundaries_150","TLS1",0
"183","monocytes","TLS2_boundaries_150","TLS1",0
"184","Alveolar_Marcophage","TLS2_boundaries_150","TLS1",0
"185","Interstital_Mph_perivascular","TLS2_boundaries_150","TLS1",0
"186","Alveolar_Mph_Proliferating","TLS2_boundaries_150","TLS1",0
"187","Epithelial_like Alveolar_Marcophage","TLS2_boundaries_150","TLS1",0
"188","cDC2","TLS2_boundaries_150","TLS1",0
"189","cDC3","TLS2_boundaries_150","TLS1",0
"190","pDC","TLS2_boundaries_150","TLS1",0
"191","mast_cell","TLS2_boundaries_150","TLS1",0
"192","Lymphatic_endothelial_cell","TLS2_boundaries_150","TLS1",0
"193","Arterial_endothelial_cell","TLS2_boundaries_150","TLS1",0
"194","Pericytes","TLS2_boundaries_150","TLS1",0
"195","tCAF","TLS2_boundaries_150","TLS1",0
"196","mCAF","TLS2_boundaries_150","TLS1",0
