"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype","change"
"PTPN1",1.04650038630236e-05,-0.632314294536048,0.122,0.199,0.0523354843189809,"PTPN1","boundaries_0","stable"
"ABCG1",1.06845302826362e-05,-1.06208133599044,0.025,0.064,0.0534333359434634,"ABCG1","boundaries_0","stable"
"EIF4G1",1.09258343804096e-05,-0.871549923576426,0.083,0.148,0.0546400977364283,"EIF4G1","boundaries_0","stable"
"SFPQ",1.24678168756892e-05,-0.707810509853956,0.105,0.175,0.0623515521953215,"SFPQ","boundaries_0","stable"
"PDCD4",1.26502603669738e-05,-0.633855242031383,0.187,0.274,0.0632639520952359,"PDCD4","boundaries_0","stable"
"CCR5",1.28908772247086e-05,-1.2460052456346,0.019,0.055,0.0644672770007675,"CCR5","boundaries_0","stable"
"CBX5",1.31392705457888e-05,-1.15144136791409,0.056,0.109,0.0657094919994898,"CBX5","boundaries_0","stable"
"GZMA",1.32578943542072e-05,-1.0345010325597,0.067,0.124,0.0663027296653901,"GZMA","boundaries_0","stable"
"DDX6",1.43839018628391e-05,-0.672762338350098,0.143,0.221,0.0719338932160585,"DDX6","boundaries_0","stable"
"CCL18",1.44494530988947e-05,-2.38149298669725,0.008,0.033,0.0722617149475723,"CCL18","boundaries_0","stable"
"CD247",1.50254431167042e-05,-0.98566754346527,0.065,0.122,0.0751422410266376,"CD247","boundaries_0","stable"
"CD5",1.52161002985366e-05,-1.01197889723994,0.041,0.088,0.0760957175929814,"CD5","boundaries_0","stable"
"NIPSNAP1",1.90185075349395e-05,-0.950078067454383,0.036,0.08,0.0951115561822326,"NIPSNAP1","boundaries_0","stable"
"KHDRBS1",1.93741294194583e-05,-0.785697839423186,0.081,0.144,0.0968900212267108,"KHDRBS1","boundaries_0","stable"
"ACE",1.98768886549391e-05,-1.34851166394574,0.019,0.053,0.0994043201633504,"ACE","boundaries_0","stable"
"KMT2A",2.10784656564808e-05,-0.724087710684136,0.102,0.17,0.10541340674806,"KMT2A","boundaries_0","stable"
"SOD1",2.166448535091e-05,-0.668613690770074,0.136,0.212,0.108344091239901,"SOD1","boundaries_0","stable"
"AHR",2.38295062216187e-05,-0.627631059012163,0.047,0.097,0.119171360614315,"AHR","boundaries_0","stable"
"ITCH",2.41656828912301e-05,-1.00534650279183,0.049,0.099,0.120852580139042,"ITCH","boundaries_0","stable"
"NCOR2",2.4404304186457e-05,-0.622898835935765,0.096,0.162,0.122045925236471,"NCOR2","boundaries_0","stable"
"DTX1",2.49887805133623e-05,2.78549001876327,0.046,0.007,0.124968891347325,"DTX1","boundaries_0","stable"
"ZYX",2.60341233502521e-05,-0.878225737368898,0.058,0.111,0.130196650874611,"ZYX","boundaries_0","stable"
"CTBP1",2.6763019463193e-05,-0.536681107910883,0.112,0.184,0.133841860335428,"CTBP1","boundaries_0","stable"
"GPR174",2.87325301909821e-05,-0.71610002310253,0.073,0.131,0.143691383485102,"GPR174","boundaries_0","stable"
"TARDBP",2.94470191125226e-05,-0.706448795395227,0.127,0.199,0.147264542581725,"TARDBP","boundaries_0","stable"
"MALL",3.04312350552681e-05,-2.13785209231804,0.011,0.038,0.152186606511396,"MALL","boundaries_0","stable"
"LTA4H",3.15595674979988e-05,-0.644736555205792,0.055,0.108,0.157829397057492,"LTA4H","boundaries_0","stable"
"CDKN1B",3.23919901534481e-05,-0.442707278805411,0.192,0.279,0.161992342757394,"CDKN1B","boundaries_0","stable"
"IFI16",3.53102075478416e-05,-0.815394415619689,0.095,0.159,0.176586347946756,"IFI16","boundaries_0","stable"
"CD3G",3.76851666205067e-05,-1.11944662989577,0.041,0.086,0.188463518269154,"CD3G","boundaries_0","stable"
"APOBEC3G",4.18204457276508e-05,-1.0243437350194,0.046,0.093,0.209144049083982,"APOBEC3G","boundaries_0","stable"
"MUC1",4.23085376283492e-05,-1.38309314801744,0.013,0.04,0.211584996679374,"MUC1","boundaries_0","stable"
"UBE2D3",4.98153561598121e-05,-0.561693721151909,0.152,0.226,0.24912659615522,"UBE2D3","boundaries_0","stable"
"RANBP2",5.00001708571016e-05,-0.549937858322179,0.115,0.184,0.250050854456365,"RANBP2","boundaries_0","stable"
"FLOT2",5.00802722983681e-05,-0.564542873566277,0.126,0.199,0.250451441764139,"FLOT2","boundaries_0","stable"
"PRR13",5.24100147391968e-05,-0.519932006230736,0.102,0.17,0.262102483710723,"PRR13","boundaries_0","stable"
"ARF6",5.53855460666549e-05,-0.880702707234858,0.092,0.153,0.276983115879341,"ARF6","boundaries_0","stable"
"UTRN",5.71305017146105e-05,-1.04551986447795,0.046,0.091,0.285709639074767,"UTRN","boundaries_0","stable"
"CD4",5.73634217627937e-05,-0.646503058969974,0.093,0.155,0.286874472235731,"CD4","boundaries_0","stable"
"EIF4A1",5.96954248757389e-05,-0.444086379271905,0.178,0.261,0.29853681980357,"EIF4A1","boundaries_0","stable"
"XPO1",6.03579721542113e-05,-0.546401461177207,0.103,0.168,0.301850218743211,"XPO1","boundaries_0","stable"
"SH2D1A",6.13763467185486e-05,-0.743918402047663,0.083,0.142,0.306943109939462,"SH2D1A","boundaries_0","stable"
"CALM3",6.60105471080779e-05,-0.773895389961988,0.11,0.173,0.330118746087498,"CALM3","boundaries_0","stable"
"TASOR",6.64266586529511e-05,-0.803988097493163,0.062,0.113,0.332199719923409,"TASOR","boundaries_0","stable"
"AHCY",7.00786351893535e-05,-0.949464946631214,0.038,0.08,0.350463254581957,"AHCY","boundaries_0","stable"
"RBMS1",7.15300580849165e-05,-1.0280368848519,0.018,0.049,0.357721820482667,"RBMS1","boundaries_0","stable"
"PBXIP1",7.36699472909113e-05,-0.500786255703947,0.095,0.159,0.368423406401848,"PBXIP1","boundaries_0","stable"
"HEXB",7.50817290756809e-05,-0.901487793412428,0.042,0.086,0.37548372710748,"HEXB","boundaries_0","stable"
"SNRPD3",8.07775687195389e-05,-1.13429043284278,0.042,0.084,0.403968621166414,"SNRPD3","boundaries_0","stable"
"MIAT",8.09090890851955e-05,-0.750461493239804,0.116,0.181,0.404626354515063,"MIAT","boundaries_0","stable"
"RHOA",8.20624132925098e-05,-0.50545818787104,0.169,0.246,0.410394128875841,"RHOA","boundaries_0","stable"
"MYBL2",8.21025133752587e-05,1.70582013481932,0.076,0.029,0.410594669389669,"MYBL2","boundaries_0","stable"
