,class,cell
380,0,hacfigfg-1
381,0,gmefmfgn-1
382,0,bjlgfnli-1
383,0,bjaadlid-1
384,0,haiakpce-1
385,0,habkkijp-1
386,0,gpocpjnj-1
387,0,bjnhaeik-1
388,0,gmhddhbf-1
389,0,gloofahg-1
390,0,biopfihg-1
391,0,gleopkla-1
392,0,bjiphpbe-1
393,0,bjgmccik-1
394,0,gmfeclil-1
395,0,gpaajdol-1
396,0,hamfjbdf-1
397,0,bkabnfkk-1
398,0,hamocjdd-1
399,0,bjimgpcb-1
400,0,gmfldkif-1
401,0,hacioogg-1
402,0,hanfebho-1
403,0,gmgciaha-1
404,0,bjabbcfi-1
405,0,cejnfdcn-1
406,0,bjkfhifm-1
407,0,bjppmdcp-1
408,0,cemcgdpi-1
409,0,hafianhm-1
410,0,bjfjjgdm-1
411,0,haindkcl-1
412,0,cepbikje-1
413,0,cepjfoih-1
414,0,hankbkdh-1
415,0,bjadeiak-1
416,0,cekffeha-1
417,0,hadmmiik-1
418,0,bjncjilk-1
419,0,cemcbafl-1
420,0,hadcaenj-1
421,0,hbcflcdn-1
422,0,halmkfkb-1
423,0,celndhnj-1
424,0,hakohcan-1
425,0,gmfdjffd-1
426,0,haagpekn-1
427,0,hangbbof-1
428,0,hagpekej-1
429,0,bjjmhphe-1
430,0,hahanafe-1
431,0,bjbafnjp-1
432,0,bjilhfkd-1
433,0,bjpecjbh-1
434,0,glfmehlc-1
435,0,haaaokic-1
436,0,hacpdope-1
437,0,bjgngmhb-1
438,0,haepojga-1
439,0,gmgillde-1
440,0,hallldfa-1
441,0,haedciim-1
442,0,hacomicp-1
443,0,cejpmgnk-1
444,0,bjljciem-1
445,0,bjknoblm-1
446,0,bkadcbph-1
447,0,cepalnfg-1
448,0,ceimncdn-1
449,0,habibcgp-1
450,0,haddingg-1
451,0,gpagbmna-1
452,0,bjhcfdjl-1
453,0,hajkoogp-1
454,0,haobahjb-1
455,0,gmgngkha-1
456,0,bjnbknej-1
457,0,halpgfej-1
458,0,hbcejkpl-1
459,0,gmejopgm-1
460,0,cepeoaja-1
461,0,haghbicd-1
462,0,glcmolhj-1
463,0,hadncogp-1
464,0,haemlklc-1
465,0,hagekjjo-1
466,0,bjamobbh-1
467,0,gpoajldm-1
468,0,gldeafih-1
469,0,cfaebiim-1
470,0,hakfchbi-1
471,0,bjojkhdg-1
472,0,gpobmjde-1
473,0,gloobjmh-1
474,0,bjafjnpj-1
475,0,hanijiin-1
476,0,bjadbebl-1
477,0,bjhmfcgm-1
478,0,gmcbfcbh-1
479,0,gpnljgfg-1
480,0,hacdgeae-1
481,0,hahcemgb-1
482,0,hahfjalo-1
483,0,hadgmfjo-1
484,0,haiapbnl-1
485,0,hafadmik-1
486,0,bjleoadf-1
487,0,gmffpbol-1
488,0,bjolpcga-1
489,0,glolfeee-1
490,0,bjhaleek-1
491,0,hakphchg-1
492,0,hakipgem-1
493,0,hallknhp-1
494,0,hadaachn-1
495,0,glpgfiki-1
496,0,hamfphml-1
497,0,hacepngg-1
498,0,cepbcmcf-1
499,0,bjjobmfk-1
500,0,hangejfc-1
501,0,bjhaflfn-1
502,0,cekifbpc-1
503,0,gmfepfba-1
504,0,bipohfpa-1
505,0,glcnemba-1
506,0,hagkmlfl-1
507,0,haoakilp-1
508,0,bjfjfhnf-1
509,0,hampjbol-1
510,0,hbeepeoj-1
511,0,bjpkclge-1
512,0,ceplfado-1
513,0,bjleggge-1
514,0,gldchikh-1
515,0,haiancej-1
516,0,bjnpbnjh-1
517,0,cemallaa-1
518,0,bipiiobi-1
519,0,gpamffmk-1
520,0,hajkdcjc-1
521,0,hacgmeff-1
522,0,bjbahiom-1
523,0,cedjomeg-1
524,0,bjofaaio-1
525,0,haidjmne-1
526,0,bjbdgala-1
527,0,bjjedaen-1
528,0,cepekcme-1
529,0,bjlcdpjp-1
530,0,glopgonp-1
531,0,haafnjng-1
532,0,haeincki-1
533,0,bjoccela-1
534,0,hakfjffc-1
535,0,bjmjfgbn-1
