,X,Y,group
495,1408.0388829342385,1917.6298906357702,PSCI_tumor_60
496,1403.9875259452765,1890.2685649889245,PSCI_tumor_60
497,1397.2784764331132,1863.4349239902062,PSCI_tumor_60
498,1387.9761171270095,1837.3864740181848,PSCI_tumor_60
499,1376.1697171968551,1812.3731864434974,PSCI_tumor_60
500,1361.9725755904187,1788.6350988033453,PSCI_tumor_60
501,1319.4784537871483,1724.8939160984396,PSCI_tumor_60
502,1296.8636146847543,1679.6642378936526,PSCI_tumor_60
503,1280.621960067354,1651.3908008534686,PSCI_tumor_60
504,1262.1286057565299,1626.3943075552208,PSCI_tumor_60
505,1270.3953123089937,1610.3823563580002,PSCI_tumor_60
506,1280.0993067217457,1586.4390088289415,PSCI_tumor_60
507,1306.221810239533,1512.425248861878,PSCI_tumor_60
508,1314.387066511255,1484.9062967078016,PSCI_tumor_60
509,1319.7160919431597,1456.7005237953756,PSCI_tumor_60
510,1322.1538093838126,1428.0994456457538,PSCI_tumor_60
511,1321.6750242578921,1399.3986633838638,PSCI_tumor_60
512,1319.4750745187466,1380.9028603476816,PSCI_tumor_60
513,1338.084795083734,1366.2447591131472,PSCI_tumor_60
514,1403.391053878202,1309.646001491275,PSCI_tumor_60
515,1422.8301496019287,1291.1079826356017,PSCI_tumor_60
516,1440.4196742694871,1270.806622887574,PSCI_tumor_60
517,1456.000433465502,1248.9256601910813,PSCI_tumor_60
518,1469.4314131547333,1225.6631287244295,PSCI_tumor_60
519,1480.5910559329893,1201.2295665872539,PSCI_tumor_60
520,1489.3783611853323,1175.8461103203929,PSCI_tumor_60
521,1495.7137991945692,1149.7424935043152,PSCI_tumor_60
522,1499.5400309268664,1123.154967549833,PSCI_tumor_60
523,1500.8224269800526,1096.3241634990359,PSCI_tumor_60
524,1499.549380997854,1069.4929141882656,PSCI_tumor_60
525,1495.7324147135027,1042.9040564837,PSCI_tumor_60
526,1489.4060736720103,1016.7982334804652,PSCI_tumor_60
527,1480.6276145748857,991.4117165565228,PSCI_tumor_60
528,1472.6504567880506,971.4688220894346,PSCI_tumor_60
529,1522.6131835546319,921.506095322854,PSCI_tumor_60
530,1541.2212792279092,900.9752255752111,PSCI_tumor_60
531,1557.7273946932671,878.719305252187,PSCI_tumor_60
532,1571.9725670356136,854.9526710328162,PSCI_tumor_60
533,1583.8196074580885,829.904208596795,PSCI_tumor_60
534,1593.1544224851727,803.8151483302647,PSCI_tumor_60
535,1599.887112745226,776.9367421453233,PSCI_tumor_60
536,1603.9528387505811,749.5278437867628,PSCI_tumor_60
537,1605.3124453372552,721.8524159290042,PSCI_tumor_60
538,1603.9528387505813,694.1769880712458,PSCI_tumor_60
539,1599.887112745226,666.7680897126853,PSCI_tumor_60
540,1593.1544224851727,639.8896835277437,PSCI_tumor_60
541,1583.8196074580887,613.8006232612134,PSCI_tumor_60
542,1571.9725670356138,588.7521608251923,PSCI_tumor_60
543,1557.7273946932673,564.9855266058214,PSCI_tumor_60
544,1541.2212792279095,542.7296062827972,PSCI_tumor_60
545,1522.6131835546323,522.1987365351542,PSCI_tumor_60
546,1466.0144259327594,465.5999789132819,PSCI_tumor_60
547,1442.2066633271702,444.3432761611123,PSCI_tumor_60
548,1416.1520427619973,425.90923918102953,PSCI_tumor_60
549,1388.1834751894542,410.5334074923609,PSCI_tumor_60
550,1288.0472117046036,362.6421510430845,PSCI_tumor_60
