X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,cluster,change
MYBL2,0.00110381208697504,0.339536438905411,0.284,0.226,1,MYBL2,CD8_Exhausted,stable
MSH2,0.00116167691550822,-0.726737417,0.078,0.119,1,MSH2,CD8_Exhausted,stable
LSM12,0.00120152930977519,-0.519805395,0.206,0.255,1,LSM12,CD8_Exhausted,stable
CDCP1,0.00121940385485614,-0.602708168,0.119,0.167,1,CDCP1,CD8_Exhausted,stable
GTPBP4,0.00122354207142846,-0.653424059,0.132,0.18,1,GTPBP4,CD8_Exhausted,stable
MELK,0.00122994646382832,-0.722757949,0.068,0.107,1,MELK,CD8_Exhausted,stable
ATP2B1,0.00123082831709713,0.439633401799301,0.124,0.082,1,ATP2B1,CD8_Exhausted,stable
SYTL2,0.00123464091762187,0.414836102997975,0.178,0.126,1,SYTL2,CD8_Exhausted,stable
NME1,0.00128478517274722,-0.66490582,0.208,0.256,1,NME1,CD8_Exhausted,stable
SUGP2,0.00132886465343516,-0.574899978,0.091,0.134,1,SUGP2,CD8_Exhausted,stable
LUC7L,0.00135005502079749,-0.879201607,0.074,0.113,1,LUC7L,CD8_Exhausted,stable
FYN,0.00136246967229246,0.325115931237621,0.214,0.155,1,FYN,CD8_Exhausted,stable
PSMC2,0.00141540423019543,0.298771722121992,0.149,0.101,1,PSMC2,CD8_Exhausted,stable
EMD,0.00143731534771842,0.418646166767613,0.188,0.139,1,EMD,CD8_Exhausted,stable
PAK1,0.00145267203153766,0.393150464424814,0.209,0.156,1,PAK1,CD8_Exhausted,stable
VSIG4,0.00155419352173181,0.638873386163041,0.107,0.068,1,VSIG4,CD8_Exhausted,stable
DPM1,0.001648388181825,0.467345591177812,0.172,0.124,1,DPM1,CD8_Exhausted,stable
BMI1,0.00165221055467709,0.41791410544403,0.195,0.144,1,BMI1,CD8_Exhausted,stable
MAPK1,0.00170342989692601,0.472896402259391,0.193,0.144,1,MAPK1,CD8_Exhausted,stable
APOL1,0.00173533161692727,0.291764117370012,0.38,0.31,1,APOL1,CD8_Exhausted,stable
CCDC80,0.00175088358530388,-0.779706725,0.097,0.137,1,CCDC80,CD8_Exhausted,stable
MKI67,0.00177355418521162,-0.569004796,0.096,0.139,1,MKI67,CD8_Exhausted,stable
PDHB,0.00182504618116334,0.338150176305335,0.107,0.069,1,PDHB,CD8_Exhausted,stable
SNRNP200,0.00184207779859382,-0.522882156,0.202,0.251,1,SNRNP200,CD8_Exhausted,stable
SOD1,0.0018484790545029,-0.366269448,0.421,0.46,1,SOD1,CD8_Exhausted,stable
CELSR1,0.00191564332429814,0.548313444380775,0.11,0.072,1,CELSR1,CD8_Exhausted,stable
SQSTM1,0.00192048887402256,0.26232133021088,0.192,0.14,1,SQSTM1,CD8_Exhausted,stable
AHR,0.00196913918994125,0.449896078003051,0.16,0.113,1,AHR,CD8_Exhausted,stable
